parent_id,parent_smiles,product_smiles,generation_depth,transform,max_tanimoto_to_any_original,nearest_original_id,nearest_original_smiles,parent_pIC50,target_origin,has_measured_row,duplicate_conflict,mw,logp,tpsa,hbd,hba,rotb,rings,fsp3,formal_charge,qed,sa_score,alert_count,sim,potency_score,sim_score,qed_score,sa_norm,mw_score,logp_score,tpsa_score,rot_score,conflict_penalty,composite_score
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)ccnc2c1=O,1,heteroatom_CH_to_N,0.7727,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,measured_median,True,False,430.8480000000001,1.7871,123.41,2,6,8,3,0.25,0,0.557896865336517,2.4459031536173104,0,0.7727,1.0,0.8253846153846149,0.557896865336517,0.8306021024115401,0.909599999999999,0.40417647058823536,0.1882857142857144,0.5,0.0,0.751303177384153
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(=O)N2CCOCC2)nc2c(Cl)cccc2c1=O,1,rxn_acid_to_amide_morpholine,0.7606,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,measured_median,True,False,498.9670000000003,2.1662999999999997,102.75999999999999,1,6,8,4,0.36,0,0.5103523735509875,2.416178062789326,0,0.7606,1.0,0.918461538461538,0.5103523735509875,0.810785375192884,0.3419416666666639,0.6272352941176469,0.7782857142857146,0.5,0.0,0.7469617807518732
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1cccnc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,1,heteroatom_CH_to_N,0.7761,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,5.1,measured_median,True,False,430.84800000000007,1.7870999999999995,123.41,2,6,8,3,0.25,0,0.5578968653365172,2.461036670100828,0,0.7761,1.0,0.7992307692307692,0.5578968653365172,0.840691113400552,0.9095999999999994,0.404176470588235,0.1882857142857144,0.5,0.0,0.7467600125489883
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)nn1,1,heteroatom_CH_to_N,0.7368,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,5.15,measured_median,True,True,438.89300000000014,1.5127000000000002,129.56,2,6,6,3,0.3333333333333333,0,0.6986295129134582,2.4507196223759244,0,0.7368,0.9374999999999991,0.8984615384615385,0.6986295129134582,0.8338130815839495,0.8425583333333322,0.2427647058823531,0.012571428571428456,1.0,-0.05,0.7291727076908805
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,O=C(NCC(=O)N1CCCC1)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,1,rxn_acid_to_amide_pyrrolidine,0.7931,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,5.15,measured_median,True,True,491.0130000000003,2.655500000000001,99.68,1,5,6,4,0.43478260869565216,0,0.6706475911052017,2.3307191141378905,0,0.7931,0.9374999999999991,0.6684615384615382,0.6706475911052017,0.7538127427585936,0.4082249999999974,0.9150000000000006,0.8662857142857141,1.0,-0.05,0.7035224197057912
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cn3)CC2)cn1,1,heteroatom_CH_to_N,0.7895,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,5.15,measured_median,True,True,438.89300000000014,1.5127000000000002,129.56,2,6,6,3,0.3333333333333333,0,0.6986295129134582,2.4526768873331903,0,0.7895,0.9374999999999991,0.6961538461538463,0.6986295129134582,0.8351179248887934,0.8425583333333322,0.2427647058823531,0.012571428571428456,1.0,-0.05,0.6848215965797695
CHEMBL5276142,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)nc1,1,heteroatom_CH_to_N,0.7321,CHEMBL5276142,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,4.67,measured_median,True,False,338.41100000000006,2.00022,82.15,1,5,4,3,0.42105263157894735,0,0.8623872739278416,2.5391620054074124,0,0.7321,0.46250000000000036,0.8623076923076921,0.8623872739278416,0.8927746702716082,0.3200916666666671,0.5295411764705884,0.632857142857143,0.5,0.0,0.6742448564450562
CHEMBL5276142,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ncc(C#N)cn1,2,heteroatom_CH_to_N,0.7091,CHEMBL5276142,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,4.67,measured_median,True,False,339.39900000000006,1.3952200000000001,95.04,1,6,4,3,0.4444444444444444,0,0.846077114456643,2.666200466945874,0,0.7091,0.46250000000000036,0.685384615384615,0.846077114456643,0.9774669779639158,0.32832500000000053,0.17365882352941198,0.9988571428571427,0.5,0.0,0.640319419897103
CHEMBL5276142,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,Cc1nc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,1,heteroatom_CH_to_N,0.6607,CHEMBL5276142,Cc1cc(C(=O)CN2CCC(O)CC2)c(C)n1-c1ccc(C#N)cc1,4.67,measured_median,True,False,338.411,2.00022,82.15,1,5,4,3,0.42105263157894735,0,0.8623872739278418,2.5664962911216964,0,0.6607,0.46250000000000036,0.3130769230769227,0.8623872739278418,0.9109975274144642,0.32009166666666666,0.5295411764705884,0.632857142857143,0.5,0.0,0.5556008300714295
CHEMBL1410015,Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,Cc1cc(C(=O)CN2CCCCC2)c(C)n1-c1cnc(F)nc1,3,ring_pyrrolidine_to_piperidine,0.7083,CHEMBL1493046,Cc1cc(C(=O)CN2CCCCC2)c(C)n1-c1ccc(F)cc1,4.54,measured_median,True,False,316.38,2.691840000000001,51.02,0,4,4,3,0.47058823529411764,0,0.6426818655659535,2.537343796642473,0,0.7083,0.3000000000000005,0.6792307692307695,0.6426818655659535,0.8915625310949817,0.13649999999999995,0.9363764705882359,0.0,0.5,0.0,0.5329335969993331
